date,INTL_MSCIJP
2004-01-16,3650.877
2004-01-23,3741.428
2004-01-30,3646.898
2004-02-06,3586.536
2004-02-13,3630.386
2004-02-20,3570.044
2004-02-27,3636.244
2004-03-05,3735.819
2004-03-12,3640.632
2004-03-19,3877.07
2004-03-26,4068.38
2004-04-02,4121.75
2004-04-09,4100.525
2004-04-16,4010.426
2004-04-23,4040.572
2004-04-30,3902.178
2004-05-07,3740.045
2004-05-14,3500.233
2004-05-21,3677.189
2004-05-28,3769.443
2004-06-04,3682.066
2004-06-11,3839.889
2004-06-18,3847.703
2004-06-25,3974.319
2004-07-02,3936.16
2004-07-09,3859.682
2004-07-16,3865.144
2004-07-23,3745.233
2004-07-30,3732.937
2004-08-06,3678.74
2004-08-13,3609.183
2004-08-20,3702.516
2004-08-27,3790.858
2004-09-03,3717.152
2004-09-10,3759.199
2004-09-17,3703.321
2004-09-24,3634.969
2004-10-01,3713.846
2004-10-08,3821.984
2004-10-15,3728.687
2004-10-22,3733.542
2004-10-29,3768.752
2004-11-05,3884.012
2004-11-12,3862.117
2004-11-19,3983.799
2004-11-26,3925.418
2004-12-03,4009.048
2004-12-10,3795.861
2004-12-17,3943.808
2004-12-24,4052.839
2004-12-31,4153.438
2005-01-07,4034.415
2005-01-14,4111.528
2005-01-21,4022.219
2005-01-28,4037.963
2005-02-04,4037.601
2005-02-11,4021.918
2005-02-18,4053.46
2005-02-25,4070.287
2005-03-04,4178.377
2005-03-11,4221.79
2005-03-18,4182.148
2005-03-25,4095.02
2005-04-01,4059.62
2005-04-08,4066.358
2005-04-15,3938.125
2005-04-22,3916.449
2005-04-29,3952.315
2005-05-06,4033.791
2005-05-13,3888.713
2005-05-20,3849.732
2005-05-27,3875.293
2005-06-03,3936.359
2005-06-10,3901.27
2005-06-17,3959.951
2005-06-24,3949.041
2005-07-01,3896.695
2005-07-08,3864.668
2005-07-15,3915.725
2005-07-22,3940.5
2005-07-29,3951.547
2005-08-05,3911.8
2005-08-12,4193.706
2005-08-19,4164.688
2005-08-26,4282.733
2005-09-02,4325.548
2005-09-09,4372.82
2005-09-16,4420.641
2005-09-23,4481.587
2005-09-30,4664.7
2005-10-07,4511.864
2005-10-14,4580.406
2005-10-21,4471.927
2005-10-28,4561.381
2005-11-04,4709.033
2005-11-11,4721.279
2005-11-18,4804.644
2005-11-25,4793.562
2005-12-02,4915.296
2005-12-09,4942.329
2005-12-16,5093.345
2005-12-23,5261.992
2005-12-30,5217.826
2006-01-06,5483.571
2006-01-13,5478.213
2006-01-20,5270.611
2006-01-27,5415.422
2006-02-03,5374.216
2006-02-10,5282.524
2006-02-17,5122.456
2006-02-24,5326.67
2006-03-03,5250.374
2006-03-10,5239.297
2006-03-17,5422.991
2006-03-24,5426.559
2006-03-31,5573.614
2006-04-07,5760.293
2006-04-14,5614.125
2006-04-21,5747.484
2006-04-28,5735.855
2006-05-05,5907.877
2006-05-12,5843.335
2006-05-19,5578.067
2006-05-26,5469.145
2006-06-02,5515.671
2006-06-09,5045.939
2006-06-16,5092.051
2006-06-23,5077.445
2006-06-30,5319.717
2006-07-07,5286.176
2006-07-14,5012.494
2006-07-21,5016.559
2006-07-28,5242.711
2006-08-04,5300.538
2006-08-11,5237.292
2006-08-18,5462.125
2006-08-25,5316.079
2006-09-01,5365.623
2006-09-08,5341.507
2006-09-15,5226.706
2006-09-22,5180.786
2006-09-29,5283.342
2006-10-06,5336.666
2006-10-13,5292.608
2006-10-20,5388.042
2006-10-27,5468.116
2006-11-03,5339.39
2006-11-10,5257.608
2006-11-17,5226.636
2006-11-24,5191.375
2006-12-01,5441.014
2006-12-08,5470.082
2006-12-15,5510.862
2006-12-22,5525.334
2006-12-29,5548.216
2007-01-05,5544.891
2007-01-12,5494.819
2007-01-19,5540.517
2007-01-26,5585.347
2007-02-02,5652.284
2007-02-09,5635.78
2007-02-16,5852.229
2007-02-23,5897.629
2007-03-02,5779.265
2007-03-09,5758.581
2007-03-16,5647.507
2007-03-23,5827.577
2007-03-30,5745.628
2007-04-06,5734.837
2007-04-13,5656.367
2007-04-20,5700.721
2007-04-27,5634.995
2007-05-04,5610.164
2007-05-11,5683.316
2007-05-18,5563.206
2007-05-25,5605.709
2007-06-01,5758.278
2007-06-08,5733.006
2007-06-15,5698.79
2007-06-22,5697.192
2007-06-29,5708.811
2007-07-06,5744.398
2007-07-13,5807.615
2007-07-20,5835.756
2007-07-27,5698.829
2007-08-03,5631.467
2007-08-10,5531.718
2007-08-17,5169.992
2007-08-24,5452.613
2007-08-31,5532.341
2007-09-07,5472.779
2007-09-14,5362.597
2007-09-21,5386.411
2007-09-28,5662.056
2007-10-05,5710.614
2007-10-12,5686.558
2007-10-19,5570.162
2007-10-26,5545.193
2007-11-02,5599.209
2007-11-09,5420.254
2007-11-16,5328.805
2007-11-23,5336.475
2007-11-30,5537.238
2007-12-07,5606.69
2007-12-14,5307.671
2007-12-21,5183.388
2007-12-28,5252.469
2008-01-04,5255.815
2008-01-11,5084.579
2008-01-18,5046.022
2008-01-25,5041.049
2008-02-01,5042.792
2008-02-08,4798.692
2008-02-15,4987.056
2008-02-22,4967.196
2008-02-29,5110.311
2008-03-07,4855.239
2008-03-14,4767.842
2008-03-21,4925.803
2008-03-28,5027.222
2008-04-04,5122.169
2008-04-11,5113.711
2008-04-18,5052.207
2008-04-25,5215.032
2008-05-02,5300.885
2008-05-09,5261.463
2008-05-16,5425.986
2008-05-23,5381.042
2008-05-30,5395.226
2008-06-06,5487.969
2008-06-13,5136.786
2008-06-20,5111.649
2008-06-27,5023.572
2008-07-04,4914.474
2008-07-11,4901.096
2008-07-18,4733.025
2008-07-25,4855.045
2008-08-01,4766.809
2008-08-08,4611.924
2008-08-15,4564.002
2008-08-22,4461.212
2008-08-29,4663.194
2008-09-05,4431.807
2008-09-12,4417.404
2008-09-19,4321.603
2008-09-26,4397.059
2008-10-03,4004.797
2008-10-10,3398.981
2008-10-17,3535.967
2008-10-24,3463.419
2008-10-31,3530.486
2008-11-07,3579.216
2008-11-14,3489.806
2008-11-21,3350.212
2008-11-28,3486.457
2008-12-05,3373.86
2008-12-12,3532.302
2008-12-19,3709.09
2008-12-26,3716.791
2009-01-02,3756.593
2009-01-09,3790.339
2009-01-16,3589.237
2009-01-23,3431.816
2009-01-30,3513.825
2009-02-06,3444.519
2009-02-13,3312.161
2009-02-20,3116.264
2009-02-27,3078.835
2009-03-06,2916.531
2009-03-13,2934.884
2009-03-20,3162.849
2009-03-27,3386.165
2009-04-03,3370.494
2009-04-10,3418.178
2009-04-17,3459.391
2009-04-24,3449.334
2009-05-01,3459.336
2009-05-08,3677.073
