date,EQ_SLOPE_BP
2018-04-20,50.28999999999999
2018-04-27,47.29999999999998
2018-05-04,45.27999999999999
2018-05-11,43.46000000000001
2018-05-18,50.91999999999999
2018-05-25,45.54999999999998
2018-06-01,43.06000000000001
2018-06-08,44.83999999999999
2018-06-15,37.34000000000002
2018-06-22,35.36999999999999
2018-06-29,33.19000000000001
2018-07-06,28.519999999999968
2018-07-13,24.910000000000032
2018-07-20,29.999999999999982
2018-07-27,28.480000000000018
2018-08-03,30.559999999999967
2018-08-10,26.900000000000013
2018-08-17,25.459999999999994
2018-08-24,18.96
2018-08-31,23.34999999999998
2018-09-07,23.629999999999995
2018-09-14,21.819999999999993
2018-09-21,26.290000000000013
2018-09-28,24.239999999999995
2018-10-05,34.78000000000003
2018-10-12,30.850000000000044
2018-10-19,28.83
2018-10-26,26.929999999999986
2018-11-02,30.869999999999997
2018-11-09,25.78
2018-11-16,26.300000000000033
2018-11-23,22.96
2018-11-30,20.139999999999958
2018-12-07,13.41000000000001
2018-12-14,15.649999999999986
2018-12-21,15.129999999999999
2018-12-28,20.210000000000015
2019-01-04,17.39999999999999
2019-01-11,15.989999999999993
2019-01-18,17.029999999999966
2019-01-25,15.220000000000011
2019-02-01,18.23000000000001
2019-02-08,16.89000000000003
2019-02-15,14.849999999999985
2019-02-22,15.850000000000009
2019-03-01,20.04999999999999
2019-03-08,16.75
2019-03-15,14.929999999999977
2019-03-22,12.239999999999984
2019-03-29,14.500000000000002
2019-04-05,15.60999999999999
2019-04-12,17.37000000000002
2019-04-19,17.940000000000023
2019-04-26,21.610000000000042
2019-05-03,19.199999999999974
2019-05-10,20.110000000000028
2019-05-17,19.279999999999966
2019-05-24,15.60999999999999
2019-05-31,20.250000000000014
2019-06-07,23.150000000000027
2019-06-14,23.990000000000002
2019-06-21,28.61999999999998
2019-06-28,25.02000000000002
2019-07-05,17.44999999999999
2019-07-12,27.480000000000015
2019-07-19,23.690000000000012
2019-07-26,21.839999999999993
2019-08-02,13.339999999999996
2019-08-09,9.809999999999985
2019-08-16,7.750000000000012
2019-08-23,0.19000000000000128
2019-08-30,-0.7900000000000018
2019-09-06,2.0000000000000018
2019-09-13,9.589999999999987
2019-09-20,3.849999999999998
2019-09-27,4.859999999999998
2019-10-04,12.539999999999996
2019-10-11,13.760000000000016
2019-10-18,17.999999999999993
2019-10-25,17.67000000000001
2019-11-01,15.829999999999988
2019-11-08,26.750000000000007
2019-11-15,22.06999999999999
2019-11-22,14.290000000000003
2019-11-29,16.389999999999993
2019-12-06,22.140000000000004
2019-12-13,21.890000000000008
2019-12-20,28.770000000000007
2019-12-27,29.400000000000006
2020-01-03,26.35000000000001
2020-01-10,24.940000000000005
2020-01-17,26.229999999999997
2020-01-24,18.92
2020-01-31,19.36
2020-02-07,18.22999999999999
2020-02-14,15.690000000000005
2020-02-21,11.7
2020-02-28,23.560000000000002
2020-03-06,25.61
2020-03-13,47.0
2020-03-20,53.2
2020-03-27,43.279999999999994
2020-04-03,36.59
2020-04-10,49.37
2020-04-17,43.98000000000001
2020-04-24,37.629999999999995
2020-05-01,42.18
2020-05-08,52.629999999999995
2020-05-15,49.77
2020-05-22,49.150000000000006
2020-05-29,49.23
2020-06-05,68.89
2020-06-12,51.04
2020-06-19,50.82
2020-06-26,47.519999999999996
2020-07-03,51.669999999999995
2020-07-10,49.18
2020-07-17,48.150000000000006
2020-07-24,44.15
2020-07-31,42.28
2020-08-07,43.49999999999999
2020-08-14,56.44
2020-08-21,48.5
2020-08-28,59.41
2020-09-04,57.519999999999996
2020-09-11,53.879999999999995
2020-09-18,55.46
2020-09-25,52.55
2020-10-02,57.16
2020-10-09,62.08
2020-10-16,60.25
2020-10-23,68.75
2020-10-30,72.12
2020-11-06,66.58
2020-11-13,71.73
2020-11-20,66.7
2020-11-27,68.49000000000001
2020-12-04,81.52
2020-12-11,78.14
2020-12-18,82.52000000000001
2020-12-25,80.42
2021-01-01,79.21000000000001
2021-01-08,98.24
2021-01-15,95.04999999999998
2021-01-22,96.46
2021-01-29,95.61999999999999
2021-02-05,106.22
2021-02-12,109.92
2021-02-19,123.16
2021-02-26,127.79
2021-03-05,142.92000000000002
2021-03-12,147.77
2021-03-19,157.18
2021-03-26,153.73
2021-04-02,153.54000000000002
2021-04-09,150.37
2021-04-16,141.86
2021-04-23,140.02
2021-04-30,146.74999999999997
2021-05-07,143.23
2021-05-14,148.14000000000001
2021-05-21,146.82999999999998
2021-05-28,145.36
2021-06-04,140.85999999999999
2021-06-11,130.49
2021-06-18,118.39999999999999
2021-06-25,125.8
2021-07-02,119.02
2021-07-09,114.69
2021-07-16,106.88
2021-07-23,107.82000000000001
2021-07-30,103.84
2021-08-06,108.86
2021-08-13,106.96
2021-08-20,103.08999999999999
2021-08-27,109.18999999999998
2021-09-03,111.62
2021-09-10,112.84
2021-09-17,113.99
2021-09-24,118.14
2021-10-01,119.78
2021-10-08,129.39999999999998
2021-10-15,117.54
2021-10-22,117.9
2021-10-29,105.50999999999999
2021-11-05,105.05
2021-11-12,104.97999999999999
2021-11-19,103.94999999999999
2021-11-26,97.51
2021-12-03,75.57
2021-12-10,82.94
2021-12-17,76.44999999999999
2021-12-24,80.46
2021-12-31,77.79
2022-01-07,89.99000000000001
2022-01-14,81.73
2022-01-21,75.66999999999999
2022-01-28,60.709999999999994
2022-02-04,59.86
2022-02-11,43.74
2022-02-18,46.32000000000001
2022-02-25,39.19999999999999
2022-03-04,25.47999999999999
2022-03-11,24.370000000000005
2022-03-18,21.320000000000007
2022-03-25,20.35
2022-04-01,-7.419999999999982
2022-04-08,18.850000000000033
2022-04-15,37.360000000000014
2022-04-22,23.150000000000006
2022-04-29,21.90000000000003
2022-05-06,39.570000000000014
2022-05-13,34.050000000000004
2022-05-20,20.03999999999997
2022-05-27,26.200000000000003
2022-06-03,28.069999999999993
2022-06-10,9.229999999999983
2022-06-17,4.709999999999992
2022-06-24,6.689999999999996
2022-07-01,4.740000000000011
2022-07-08,-2.4399999999999977
2022-07-15,-20.489999999999988
2022-07-22,-21.960000000000022
2022-07-29,-23.57
2022-08-05,-39.88999999999998
2022-08-12,-41.1
2022-08-19,-26.16999999999998
2022-08-26,-35.569999999999965
2022-09-02,-19.79000000000002
2022-09-09,-24.680000000000035
2022-09-16,-41.77000000000004
2022-09-23,-51.65000000000002
2022-09-30,-45.00999999999999
2022-10-07,-42.640000000000015
2022-10-14,-47.75
2022-10-21,-25.55999999999994
2022-10-28,-40.19000000000004
2022-11-04,-50.0
2022-11-11,-51.959999999999965
2022-11-18,-70.40999999999995
2022-11-25,-77.50000000000003
2022-12-02,-78.54999999999998
2022-12-09,-76.59999999999995
2022-12-16,-69.61
2022-12-23,-57.39000000000005
2022-12-30,-55.09999999999997
2023-01-06,-68.94
2023-01-13,-72.86000000000001
2023-01-20,-69.15000000000005
2023-01-27,-69.55
2023-02-03,-76.39999999999998
2023-02-10,-78.50000000000001
2023-02-17,-80.21000000000002
2023-02-24,-87.04
2023-03-03,-90.47999999999993
2023-03-10,-88.74999999999997
2023-03-17,-40.880000000000024
2023-03-24,-39.050000000000026
2023-03-31,-55.76999999999997
2023-04-07,-58.999999999999986
2023-04-14,-58.61000000000005
2023-04-21,-60.98000000000003
2023-04-28,-58.440000000000005
2023-05-05,-47.69000000000001
2023-05-12,-52.47000000000001
2023-05-19,-59.33000000000001
2023-05-26,-76.35999999999999
2023-06-02,-80.62
2023-06-09,-85.62000000000003
2023-06-16,-95.28000000000003
2023-06-23,-100.64999999999999
2023-06-30,-105.87000000000005
2023-07-07,-88.42999999999996
2023-07-14,-93.34000000000002
2023-07-21,-100.22999999999999
2023-07-28,-92.36999999999998
2023-08-04,-73.02999999999997
2023-08-11,-74.25000000000006
2023-08-18,-68.78999999999999
2023-08-25,-84.24999999999994
2023-09-01,-69.97
2023-09-08,-72.64999999999998
2023-09-15,-70.00999999999999
2023-09-22,-67.60000000000002
2023-09-29,-47.24999999999993
2023-10-06,-28.03999999999993
2023-10-13,-44.13999999999998
2023-10-20,-15.939999999999976
2023-10-27,-16.750000000000043
2023-11-03,-26.619999999999955
2023-11-10,-41.04999999999998
2023-11-17,-45.01000000000008
2023-11-24,-48.19000000000004
2023-12-01,-34.280000000000044
2023-12-08,-49.53000000000003
2023-12-15,-53.18000000000001
2023-12-22,-42.81000000000002
2023-12-29,-37.08
2024-01-05,-33.5
2024-01-12,-20.509999999999984
2024-01-19,-26.18999999999998
2024-01-26,-21.160000000000068
2024-02-02,-34.39000000000006
2024-02-09,-30.45
2024-02-16,-36.24000000000001
2024-02-23,-44.160000000000025
2024-03-01,-35.14999999999997
2024-03-08,-39.859999999999914
2024-03-15,-42.12999999999995
2024-03-22,-39.1
2024-03-29,-41.96999999999997
2024-04-05,-34.88999999999996
2024-04-12,-37.5
2024-04-19,-36.51
2024-04-26,-33.040000000000006
2024-05-03,-30.830000000000002
2024-05-10,-36.920000000000016
2024-05-17,-40.469999999999914
2024-05-24,-48.110000000000056
2024-05-31,-37.42000000000001
2024-06-07,-45.329999999999956
2024-06-14,-48.34999999999994
2024-06-21,-47.67999999999999
2024-06-28,-35.740000000000016
2024-07-05,-32.50999999999999
2024-07-12,-26.84999999999995
2024-07-19,-27.200000000000024
2024-07-26,-18.930000000000025
2024-08-02,-8.939999999999992
2024-08-09,-11.329999999999973
2024-08-16,-16.709999999999958
2024-08-23,-11.629999999999985
2024-08-30,-1.3100000000000112
2024-09-06,6.18000000000003
2024-09-13,6.890000000000018
2024-09-20,15.029999999999966
2024-09-27,19.13999999999998
2024-10-04,4.55000000000001
2024-10-11,14.48999999999998
2024-10-18,13.449999999999962
2024-10-25,13.529999999999998
2024-11-01,17.820000000000036
2024-11-08,5.039999999999978
2024-11-15,13.609999999999989
2024-11-22,2.719999999999967
2024-11-29,1.7599999999999838
2024-12-06,4.899999999999949
2024-12-13,15.190000000000037
2024-12-20,21.199999999999974
2024-12-27,29.910000000000014
2025-01-03,31.88000000000004
2025-01-10,37.999999999999986
2025-01-17,34.43999999999994
2025-01-24,35.59000000000001
2025-01-31,34.16000000000005
2025-02-07,20.54999999999998
2025-02-14,21.73000000000007
2025-02-21,23.329999999999984
2025-02-28,21.92999999999996
2025-03-07,30.14000000000001
2025-03-14,29.50999999999997
2025-03-21,29.80999999999998
2025-03-28,33.74999999999994
2025-04-04,34.22999999999998
2025-04-11,52.95999999999994
2025-04-18,52.67000000000004
2025-04-25,48.72999999999994
2025-05-02,48.44
2025-05-09,48.749999999999986
2025-05-16,47.75000000000005
2025-05-23,51.980000000000004
2025-05-30,50.290000000000035
2025-06-06,46.91000000000001
2025-06-13,45.120000000000005
2025-06-20,46.73999999999996
2025-06-27,52.890000000000015
2025-07-04,46.57999999999998
2025-07-11,52.43000000000002
2025-07-18,54.63999999999998
2025-07-25,46.460000000000036
2025-08-01,53.42000000000002
2025-08-08,52.049999999999976
2025-08-15,56.54999999999997
2025-08-22,55.74000000000004
2025-08-29,61.16999999999999
2025-09-05,56.50000000000004
2025-09-12,50.87000000000002
2025-09-19,55.58999999999998
2025-09-26,53.250000000000064
2025-10-03,54.330000000000034
2025-10-10,53.06999999999995
2025-10-17,55.14999999999999
2025-10-24,52.07999999999999
2025-10-31,50.38999999999998
