date,EQ_VIX
2013-06-21,18.899999618530273
2013-06-28,16.860000610351562
2013-07-05,14.890000343322754
2013-07-12,13.84000015258789
2013-07-19,12.539999961853027
2013-07-26,12.720000267028809
2013-08-02,11.979999542236328
2013-08-09,13.40999984741211
2013-08-16,14.369999885559082
2013-08-23,13.979999542236328
2013-08-30,17.010000228881836
2013-09-06,15.850000381469728
2013-09-13,14.15999984741211
2013-09-20,13.119999885559082
2013-09-27,15.460000038146973
2013-10-04,16.739999771118164
2013-10-11,15.720000267028809
2013-10-18,13.039999961853027
2013-10-25,13.09000015258789
2013-11-01,13.279999732971191
2013-11-08,12.899999618530272
2013-11-15,12.1899995803833
2013-11-22,12.260000228881836
2013-11-29,13.699999809265137
2013-12-06,13.789999961853027
2013-12-13,15.760000228881836
2013-12-20,13.789999961853027
2013-12-27,12.460000038146973
2014-01-03,13.760000228881836
2014-01-10,12.140000343322754
2014-01-17,12.4399995803833
2014-01-24,18.13999938964844
2014-01-31,18.40999984741211
2014-02-07,15.289999961853027
2014-02-14,13.56999969482422
2014-02-21,14.68000030517578
2014-02-28,14.0
2014-03-07,14.109999656677246
2014-03-14,17.81999969482422
2014-03-21,15.0
2014-03-28,14.40999984741211
2014-04-04,13.960000038146973
2014-04-11,17.030000686645508
2014-04-18,13.359999656677246
2014-04-25,14.0600004196167
2014-05-02,12.90999984741211
2014-05-09,12.920000076293944
2014-05-16,12.4399995803833
2014-05-23,11.359999656677246
2014-05-30,11.399999618530272
2014-06-06,10.729999542236328
2014-06-13,12.18000030517578
2014-06-20,10.850000381469728
2014-06-27,11.260000228881836
2014-07-04,10.31999969482422
2014-07-11,12.079999923706056
2014-07-18,12.0600004196167
2014-07-25,12.6899995803833
2014-08-01,17.030000686645508
2014-08-08,15.770000457763672
2014-08-15,13.149999618530272
2014-08-22,11.470000267028809
2014-08-29,12.09000015258789
2014-09-05,12.09000015258789
2014-09-12,13.3100004196167
2014-09-19,12.109999656677246
2014-09-26,14.850000381469728
2014-10-03,14.550000190734863
2014-10-10,21.239999771118164
2014-10-17,21.989999771118164
2014-10-24,16.110000610351562
2014-10-31,14.029999732971191
2014-11-07,13.119999885559082
2014-11-14,13.3100004196167
2014-11-21,12.899999618530272
2014-11-28,13.329999923706056
2014-12-05,11.890000343322754
2014-12-12,21.079999923706055
